date,year,month,quarter,market,channel,category,product,units_sold,revenue_usd,cogs_usd,gross_profit,gross_margin,segment,is_repeat_client,nps_score
2024-12-12,2024,12,Q4,Japan,Travel Retail,Accessories,C de Cartier Bag,1,903.69,231.54,607.32,67.2,Aspirational ($1K-$10K),True,7
2024-06-24,2024,6,Q2,Hong Kong,E-Commerce,Fine Jewellery,Cartier d'Amour,1,32973.2,13701.92,20915.51,63.4,Premium ($10K-$50K),True,8
2022-09-14,2022,9,Q3,Australia,E-Commerce,High Jewellery,LOVE Bracelet HJ,1,629242.76,181079.41,448163.35,71.2,Entry (<$1K),True,6
2023-02-07,2023,2,Q1,Japan,Boutique,Fragrances,La Panthère,1,462.47,98.19,329.91,71.3,VIP (>$50K),True,6
2023-02-25,2023,2,Q1,Australia,E-Commerce,Fine Jewellery,Cartier d'Amour,2,14832.92,4118.93,9272.36,62.5,Aspirational ($1K-$10K),False,10
2023-05-11,2023,5,Q2,Japan,Boutique,Fragrances,La Panthère,2,705.15,209.55,495.6,70.3,VIP (>$50K),True,6
2023-03-15,2023,3,Q1,India,Wholesale,Fragrances,Baiser Volé,1,271.79,98.79,173.0,63.7,Entry (<$1K),False,10
2023-04-12,2023,4,Q2,Thailand,Boutique,Fine Jewellery,Cartier d'Amour,2,39944.18,14229.21,25714.97,64.4,Aspirational ($1K-$10K),True,6
2022-06-18,2022,6,Q2,Hong Kong,Travel Retail,High Jewellery,LOVE Bracelet HJ,1,300492.19,106265.2,206978.82,68.9,Entry (<$1K),False,9
2023-08-19,2023,8,Q3,Thailand,E-Commerce,High Jewellery,LOVE Bracelet HJ,1,713440.85,200675.63,512765.22,71.9,Entry (<$1K),True,9
2024-06-16,2024,6,Q2,Japan,Boutique,Watches,Panthère Watch,1,35686.55,14361.53,23048.4,64.6,Premium ($10K-$50K),False,7
2023-11-25,2023,11,Q4,Australia,Private Client,Accessories,C de Cartier Bag,2,2085.36,641.98,1443.38,69.2,Aspirational ($1K-$10K),True,9
2023-12-31,2023,12,Q4,India,Private Client,Accessories,Love Bracelet Classic,2,4043.78,918.71,2867.83,70.9,Aspirational ($1K-$10K),True,7
2022-10-03,2022,10,Q4,China,Boutique,High Jewellery,Trinity Collection,1,454643.26,135442.58,319200.68,70.2,Aspirational ($1K-$10K),False,10
2022-07-17,2022,7,Q3,Japan,Private Client,Accessories,Love Bracelet Classic,2,1947.27,731.29,1303.74,67.0,Aspirational ($1K-$10K),True,10
2022-02-06,2022,2,Q1,China,Travel Retail,High Jewellery,LOVE Bracelet HJ,1,685957.84,164759.76,463532.16,67.6,VIP (>$50K),False,10
2023-09-13,2023,9,Q3,South Korea,Travel Retail,Accessories,Panthere Sunglasses,1,1454.58,490.03,964.55,66.3,Entry (<$1K),True,10
2024-08-20,2024,8,Q3,India,Private Client,Watches,Rotonde,3,22377.99,8438.45,13939.54,62.3,Aspirational ($1K-$10K),True,8
2023-10-19,2023,10,Q4,China,Boutique,Fragrances,La Panthère,3,554.84,187.76,367.09,66.2,Aspirational ($1K-$10K),False,9
2023-12-08,2023,12,Q4,Hong Kong,Travel Retail,Fine Jewellery,Cartier d'Amour,3,132745.22,32274.71,91433.58,68.9,VIP (>$50K),True,6
2023-09-17,2023,9,Q3,Japan,Wholesale,Watches,Santos de Cartier,3,137799.22,50480.93,87318.29,63.4,Entry (<$1K),False,9
2022-02-15,2022,2,Q1,Hong Kong,Travel Retail,Fragrances,Carat,2,702.54,150.92,498.8,71.0,Premium ($10K-$50K),False,10
2023-11-27,2023,11,Q4,South Korea,Private Client,Fine Jewellery,Cactus de Cartier,3,136200.21,49676.77,86523.44,63.5,VIP (>$50K),True,10
2023-03-15,2023,3,Q1,Singapore,Wholesale,High Jewellery,Juste un Clou Necklace,1,975916.97,295301.35,680615.62,69.7,VIP (>$50K),True,10
2022-07-14,2022,7,Q3,Hong Kong,Wholesale,High Jewellery,LOVE Bracelet HJ,1,402140.82,131457.16,286458.51,71.2,Aspirational ($1K-$10K),True,8
2024-06-05,2024,6,Q2,Hong Kong,E-Commerce,Accessories,Love Bracelet Classic,3,3690.05,1494.24,2375.12,64.4,Premium ($10K-$50K),True,10
2023-01-18,2023,1,Q1,India,E-Commerce,Accessories,Cartier Wallet,3,11860.97,3209.29,7528.42,63.5,Entry (<$1K),True,6
2024-12-05,2024,12,Q4,Australia,Wholesale,Accessories,Panthere Sunglasses,2,2941.97,837.57,1869.88,63.6,Entry (<$1K),False,6
2023-02-21,2023,2,Q1,Thailand,Wholesale,Fine Jewellery,Clash de Cartier,2,31632.29,7119.57,22020.87,69.6,Premium ($10K-$50K),False,7
2023-09-28,2023,9,Q3,India,Travel Retail,Fragrances,Carat,1,262.59,77.71,184.88,70.4,Premium ($10K-$50K),False,8
2022-12-27,2022,12,Q4,China,Travel Retail,High Jewellery,Trinity Collection,1,976486.62,259501.3,644324.96,66.0,VIP (>$50K),True,9
2024-01-15,2024,1,Q1,Japan,Travel Retail,Watches,Tank Must,1,20806.92,5119.98,13894.95,66.8,Aspirational ($1K-$10K),True,6
2023-05-03,2023,5,Q2,Japan,Wholesale,Fine Jewellery,Trinity Ring,2,83446.63,25184.26,58262.37,69.8,VIP (>$50K),False,8
2024-06-19,2024,6,Q2,Thailand,Wholesale,Fragrances,La Panthère,1,232.85,82.46,160.28,68.8,Entry (<$1K),True,7
2023-07-23,2023,7,Q3,South Korea,Wholesale,Accessories,Cartier Wallet,3,7686.74,2476.19,5507.69,71.7,VIP (>$50K),True,7
2023-06-03,2023,6,Q2,Thailand,Wholesale,Fine Jewellery,Cartier d'Amour,2,37356.31,13535.17,25445.36,68.1,Entry (<$1K),True,8
2023-09-09,2023,9,Q3,Japan,E-Commerce,Fine Jewellery,Clash de Cartier,2,77058.06,26441.34,50616.72,65.7,Entry (<$1K),True,8
2022-06-14,2022,6,Q2,India,Travel Retail,Accessories,Cartier Wallet,1,2203.75,907.64,1405.02,63.8,Aspirational ($1K-$10K),True,8
2024-05-11,2024,5,Q2,Hong Kong,Travel Retail,High Jewellery,Trinity Collection,1,632814.79,205247.46,427567.33,67.6,Premium ($10K-$50K),False,7
2023-09-18,2023,9,Q3,Hong Kong,Private Client,High Jewellery,Trinity Collection,1,210721.86,79435.07,131286.78,62.3,Premium ($10K-$50K),True,9
2023-10-17,2023,10,Q4,India,Travel Retail,Watches,Ballon Bleu,2,33224.03,11959.09,21264.95,64.0,Premium ($10K-$50K),False,8
2023-01-08,2023,1,Q1,Thailand,Travel Retail,Fragrances,Baiser Volé,3,420.56,107.39,275.59,65.5,Premium ($10K-$50K),True,9
2023-02-11,2023,2,Q1,Singapore,E-Commerce,High Jewellery,LOVE Bracelet HJ,1,885013.82,193342.82,624001.01,70.5,Aspirational ($1K-$10K),False,10
2022-08-29,2022,8,Q3,China,Private Client,Accessories,Love Bracelet Classic,1,3394.47,1192.67,2201.8,64.9,Premium ($10K-$50K),True,8
2023-08-13,2023,8,Q3,India,Travel Retail,Watches,Panthère Watch,2,132350.4,46676.12,85674.28,64.7,Premium ($10K-$50K),False,9
2022-10-26,2022,10,Q4,China,Wholesale,Fine Jewellery,Clash de Cartier,2,71337.97,24132.94,47205.03,66.2,Entry (<$1K),False,9
2022-09-30,2022,9,Q3,Hong Kong,Travel Retail,Watches,Panthère Watch,2,158641.73,45578.65,113063.08,71.3,VIP (>$50K),False,7
2024-08-22,2024,8,Q3,Hong Kong,Private Client,Fragrances,La Panthère,2,297.83,92.4,205.43,69.0,Entry (<$1K),True,7
2022-03-26,2022,3,Q1,South Korea,Wholesale,Watches,Rotonde,2,95129.69,27891.26,67238.43,70.7,Aspirational ($1K-$10K),True,9
2022-10-18,2022,10,Q4,Singapore,Boutique,Fine Jewellery,Cartier d'Amour,2,103959.61,36883.03,67076.57,64.5,Entry (<$1K),False,8
2023-06-25,2023,6,Q2,Hong Kong,Travel Retail,Watches,Ballon Bleu,1,68371.5,26071.88,45428.25,66.4,Entry (<$1K),False,7
2022-04-22,2022,4,Q2,Australia,E-Commerce,High Jewellery,LOVE Bracelet HJ,1,261718.34,84703.3,177015.03,67.6,Entry (<$1K),False,8
2024-09-20,2024,9,Q3,India,Travel Retail,High Jewellery,Panthère Bracelet,1,114789.73,42106.86,72682.87,63.3,Premium ($10K-$50K),True,10
2023-07-13,2023,7,Q3,Australia,Private Client,High Jewellery,Panthère Bracelet,1,294598.09,119454.62,189478.03,64.3,VIP (>$50K),True,6
2023-08-06,2023,8,Q3,Japan,Travel Retail,Fine Jewellery,Cartier d'Amour,1,37490.8,12222.87,25267.92,67.4,Entry (<$1K),True,8
2022-01-12,2022,1,Q1,Hong Kong,Boutique,Fragrances,Carat,3,1235.93,339.37,777.79,62.9,Premium ($10K-$50K),False,6
2023-08-03,2023,8,Q3,Hong Kong,Boutique,High Jewellery,LOVE Bracelet HJ,1,137227.38,41718.22,95509.15,69.6,Entry (<$1K),False,7
2022-11-30,2022,11,Q4,Thailand,Travel Retail,Fine Jewellery,Clash de Cartier,2,11901.35,4208.18,7693.16,64.6,Aspirational ($1K-$10K),True,10
2022-09-26,2022,9,Q3,Hong Kong,Boutique,Fine Jewellery,Clash de Cartier,2,60366.03,18523.19,41842.84,69.3,Entry (<$1K),False,9
2024-01-25,2024,1,Q1,South Korea,Travel Retail,Accessories,C de Cartier Bag,2,1388.77,357.63,905.97,65.2,Premium ($10K-$50K),True,10
2024-12-10,2024,12,Q4,Japan,Wholesale,Accessories,Love Bracelet Classic,2,1777.24,409.4,1253.2,70.5,Premium ($10K-$50K),True,8
2023-05-25,2023,5,Q2,Thailand,Wholesale,Fragrances,La Panthère,3,966.67,281.07,685.6,70.9,Entry (<$1K),False,9
2023-06-03,2023,6,Q2,Hong Kong,Wholesale,Fragrances,La Panthère,3,1129.39,444.26,738.45,65.4,Premium ($10K-$50K),True,9
2022-04-03,2022,4,Q2,Japan,Travel Retail,Fine Jewellery,Cactus de Cartier,3,86277.9,28039.87,58238.03,67.5,Aspirational ($1K-$10K),False,7
2023-03-09,2023,3,Q1,South Korea,Boutique,Fragrances,Les Heures de Parfum,3,1319.8,371.91,947.89,71.8,Entry (<$1K),False,7
2024-09-04,2024,9,Q3,India,Travel Retail,Fragrances,Carat,3,650.02,205.45,444.56,68.4,Entry (<$1K),True,6
2022-09-14,2022,9,Q3,South Korea,Boutique,Watches,Santos de Cartier,1,82306.01,30115.87,52190.14,63.4,Premium ($10K-$50K),True,7
2023-05-11,2023,5,Q2,Thailand,Private Client,Watches,Santos de Cartier,2,52388.03,16878.79,35509.24,67.8,VIP (>$50K),False,7
2024-06-30,2024,6,Q2,India,Travel Retail,High Jewellery,LOVE Bracelet HJ,1,371025.27,142061.8,246010.89,66.3,Entry (<$1K),False,6
2022-07-30,2022,7,Q3,Thailand,Travel Retail,Accessories,Cartier Wallet,3,1106.0,426.19,730.95,66.1,Entry (<$1K),False,6
2024-12-17,2024,12,Q4,China,Travel Retail,Fragrances,Les Heures de Parfum,3,1330.93,334.52,902.75,67.8,Entry (<$1K),False,10
2023-12-12,2023,12,Q4,India,Travel Retail,High Jewellery,Panthère Bracelet,1,288806.03,70934.54,198009.82,68.6,Premium ($10K-$50K),True,10
2023-11-26,2023,11,Q4,India,E-Commerce,Fine Jewellery,Trinity Ring,3,123277.22,42561.46,80715.76,65.5,Aspirational ($1K-$10K),True,7
2023-03-01,2023,3,Q1,Singapore,Boutique,Accessories,Panthere Sunglasses,2,1939.85,562.73,1377.12,71.0,Entry (<$1K),True,9
2023-09-14,2023,9,Q3,Australia,E-Commerce,Fragrances,La Panthère,2,908.41,286.79,621.62,68.4,Premium ($10K-$50K),False,10
2022-03-07,2022,3,Q1,Japan,Wholesale,Accessories,C de Cartier Bag,1,2253.28,740.51,1512.77,67.1,Aspirational ($1K-$10K),True,6
2023-07-02,2023,7,Q3,South Korea,Private Client,Fragrances,La Panthère,2,813.38,332.65,520.65,64.0,VIP (>$50K),True,10
2022-07-28,2022,7,Q3,China,Private Client,High Jewellery,Panthère Bracelet,1,608446.15,256583.52,382652.65,62.9,Premium ($10K-$50K),True,9
2024-11-02,2024,11,Q4,India,Boutique,Watches,Ballon Bleu,1,25258.67,8181.56,17077.11,67.6,Entry (<$1K),True,6
2023-05-18,2023,5,Q2,India,Wholesale,Fine Jewellery,Clash de Cartier,2,8416.69,2660.22,5756.47,68.4,Premium ($10K-$50K),False,10
2024-05-13,2024,5,Q2,Australia,E-Commerce,Accessories,Love Bracelet Classic,3,10441.31,3753.24,6688.07,64.1,Aspirational ($1K-$10K),True,9
2022-10-26,2022,10,Q4,China,Private Client,High Jewellery,Trinity Collection,1,356320.74,127291.05,229029.7,64.3,Entry (<$1K),False,6
2022-11-06,2022,11,Q4,China,Private Client,Fine Jewellery,Trinity Ring,3,67703.31,24871.12,42832.18,63.3,Aspirational ($1K-$10K),True,6
2023-07-27,2023,7,Q3,South Korea,Travel Retail,Accessories,Panthere Sunglasses,3,9579.35,3757.76,6272.52,65.5,Aspirational ($1K-$10K),True,9
2023-02-09,2023,2,Q1,Singapore,Boutique,High Jewellery,Juste un Clou Necklace,1,601836.43,164050.61,380368.11,63.2,Aspirational ($1K-$10K),False,10
2023-10-02,2023,10,Q4,Hong Kong,E-Commerce,High Jewellery,Trinity Collection,1,938188.71,286962.86,651225.85,69.4,Aspirational ($1K-$10K),True,10
2022-08-15,2022,8,Q3,China,Wholesale,Fine Jewellery,Cactus de Cartier,1,8085.44,2626.75,5458.69,67.5,VIP (>$50K),True,7
2024-12-28,2024,12,Q4,Australia,Wholesale,Fine Jewellery,Cactus de Cartier,3,123097.53,33394.38,80352.73,65.3,Entry (<$1K),True,7
2022-08-04,2022,8,Q3,Hong Kong,Private Client,Fragrances,Baiser Volé,1,490.89,144.64,346.24,70.5,Entry (<$1K),True,6
2022-07-08,2022,7,Q3,China,Travel Retail,Watches,Panthère Watch,3,59455.87,22473.34,39679.33,66.7,Entry (<$1K),True,10
2024-10-18,2024,10,Q4,Thailand,Travel Retail,Accessories,Love Bracelet Classic,1,2478.14,814.01,1664.13,67.2,Entry (<$1K),False,10
2024-12-19,2024,12,Q4,Japan,E-Commerce,Accessories,Love Bracelet Classic,3,1722.87,426.59,1176.83,68.3,VIP (>$50K),True,9
2022-08-14,2022,8,Q3,Japan,Wholesale,Fragrances,Les Heures de Parfum,2,266.35,82.7,183.65,69.0,Aspirational ($1K-$10K),False,9
2022-02-27,2022,2,Q1,South Korea,E-Commerce,Fragrances,Carat,2,455.19,101.68,317.92,69.8,Entry (<$1K),False,10
2023-12-16,2023,12,Q4,Japan,Boutique,Accessories,Love Bracelet Classic,2,6052.57,1693.47,3884.93,64.2,Entry (<$1K),True,10
2022-09-29,2022,9,Q3,South Korea,Private Client,Accessories,Love Bracelet Classic,3,7543.87,2357.62,5186.25,68.7,Entry (<$1K),False,9
2023-11-26,2023,11,Q4,China,Travel Retail,Fine Jewellery,Cartier d'Amour,3,141707.52,48607.23,93100.29,65.7,Aspirational ($1K-$10K),True,6
2022-06-24,2022,6,Q2,Australia,Private Client,Fragrances,La Panthère,2,805.57,302.33,539.52,67.0,VIP (>$50K),False,10
2023-01-04,2023,1,Q1,China,Wholesale,Watches,Tank Must,3,359041.27,86282.39,242560.04,67.6,Aspirational ($1K-$10K),False,6
2024-10-03,2024,10,Q4,China,Wholesale,Accessories,Panthere Sunglasses,2,4140.18,1317.41,2822.77,68.2,VIP (>$50K),False,6
2022-12-11,2022,12,Q4,Singapore,E-Commerce,Watches,Ballon Bleu,2,183793.22,49948.8,119858.76,65.2,VIP (>$50K),True,8
2023-01-07,2023,1,Q1,China,Boutique,Fine Jewellery,Trinity Ring,2,15683.04,3552.42,10887.27,69.4,VIP (>$50K),False,7
2023-04-30,2023,4,Q2,India,Private Client,Fragrances,Carat,2,767.71,250.64,517.07,67.4,Entry (<$1K),False,6
2024-04-14,2024,4,Q2,Australia,Boutique,Fine Jewellery,Cartier d'Amour,1,11903.13,3695.46,8207.67,69.0,Entry (<$1K),False,10
2023-02-21,2023,2,Q1,South Korea,Wholesale,Fragrances,Baiser Volé,2,1225.16,341.35,764.33,62.4,Entry (<$1K),False,9
2023-08-16,2023,8,Q3,South Korea,Boutique,High Jewellery,LOVE Bracelet HJ,1,279064.66,97114.44,181950.22,65.2,Aspirational ($1K-$10K),True,7
2024-11-11,2024,11,Q4,Singapore,Boutique,Watches,Rotonde,2,111967.73,39171.12,72796.61,65.0,Premium ($10K-$50K),True,8
2024-06-03,2024,6,Q2,Australia,Private Client,Fragrances,Les Heures de Parfum,3,1254.95,436.57,870.76,69.4,Entry (<$1K),False,8
2023-12-01,2023,12,Q4,Australia,Travel Retail,Fragrances,Les Heures de Parfum,3,494.87,143.91,310.67,62.8,Entry (<$1K),False,6
2022-12-22,2022,12,Q4,Thailand,Private Client,Accessories,Love Bracelet Classic,3,7723.16,2082.4,5057.69,65.5,VIP (>$50K),True,9
2022-09-10,2022,9,Q3,Hong Kong,Travel Retail,Fragrances,Les Heures de Parfum,3,1026.01,388.22,637.79,62.2,VIP (>$50K),True,7
2024-06-29,2024,6,Q2,China,E-Commerce,High Jewellery,Juste un Clou Necklace,1,630082.9,214193.22,441592.87,70.1,Aspirational ($1K-$10K),True,7
2023-04-25,2023,4,Q2,India,Wholesale,High Jewellery,Juste un Clou Necklace,1,407762.84,138885.12,268877.72,65.9,VIP (>$50K),False,9
2022-08-16,2022,8,Q3,Singapore,Private Client,Fragrances,Carat,3,594.87,200.22,394.65,66.3,Premium ($10K-$50K),False,7
2022-05-14,2022,5,Q2,South Korea,Wholesale,Fragrances,Baiser Volé,2,1033.04,309.07,723.97,70.1,VIP (>$50K),True,10
2023-06-02,2023,6,Q2,India,Boutique,Accessories,C de Cartier Bag,2,4507.83,1574.69,3122.11,69.3,Entry (<$1K),True,10
2022-03-31,2022,3,Q1,Australia,Boutique,Fine Jewellery,Trinity Ring,2,45938.89,13756.9,32181.99,70.1,VIP (>$50K),True,6
2023-04-08,2023,4,Q2,Thailand,Boutique,Watches,Tank Must,3,46741.2,16010.24,30730.96,65.7,VIP (>$50K),True,6
2023-11-16,2023,11,Q4,Singapore,E-Commerce,High Jewellery,LOVE Bracelet HJ,1,268837.75,76737.93,192099.82,71.5,Aspirational ($1K-$10K),True,7
2022-05-30,2022,5,Q2,India,Boutique,Accessories,C de Cartier Bag,1,487.63,154.94,332.69,68.2,VIP (>$50K),True,6
2024-06-24,2024,6,Q2,China,Wholesale,Fragrances,Carat,3,454.82,147.41,325.09,71.5,Entry (<$1K),False,10
2024-04-21,2024,4,Q2,Australia,Private Client,Fragrances,La Panthère,2,550.36,202.53,347.83,63.2,VIP (>$50K),False,6
2024-07-18,2024,7,Q3,Hong Kong,Private Client,Watches,Santos de Cartier,1,14019.21,5405.18,9262.65,66.1,Premium ($10K-$50K),True,7
2024-11-08,2024,11,Q4,Singapore,Wholesale,Accessories,Love Bracelet Classic,1,3065.14,900.44,2164.7,70.6,VIP (>$50K),False,8
2024-06-11,2024,6,Q2,Hong Kong,Wholesale,Fragrances,Baiser Volé,2,354.55,124.54,244.95,69.1,VIP (>$50K),True,7
2022-04-28,2022,4,Q2,Australia,Private Client,Fragrances,La Panthère,1,247.02,84.99,162.03,65.6,Premium ($10K-$50K),True,8
2023-01-23,2023,1,Q1,India,Travel Retail,Fragrances,Les Heures de Parfum,2,1029.98,260.63,678.13,65.8,Entry (<$1K),False,6
2024-07-19,2024,7,Q3,China,Travel Retail,Watches,Santos de Cartier,2,118432.25,46079.83,77881.99,65.8,Premium ($10K-$50K),True,8
2024-02-09,2024,2,Q1,Australia,Travel Retail,Watches,Santos de Cartier,1,40031.9,9947.75,26602.43,66.5,Premium ($10K-$50K),False,7
2024-01-08,2024,1,Q1,China,Boutique,Watches,Tank Must,2,79251.77,20657.34,51364.37,64.8,Aspirational ($1K-$10K),True,7
2023-01-01,2023,1,Q1,Australia,Boutique,Watches,Ballon Bleu,3,273314.88,59466.1,193035.64,70.6,VIP (>$50K),False,7
2023-09-17,2023,9,Q3,India,E-Commerce,Fine Jewellery,Cactus de Cartier,3,88017.11,32404.94,55612.17,63.2,VIP (>$50K),False,7
2023-01-24,2023,1,Q1,Australia,Private Client,Accessories,Cartier Wallet,3,5273.58,1189.31,3668.01,69.6,VIP (>$50K),True,10
2023-01-23,2023,1,Q1,Singapore,E-Commerce,Fine Jewellery,Clash de Cartier,1,6026.92,1630.17,3826.19,63.5,Entry (<$1K),False,6
2024-08-21,2024,8,Q3,Japan,E-Commerce,Fragrances,Carat,3,1309.17,415.57,893.61,68.3,Entry (<$1K),False,8
2024-12-12,2024,12,Q4,India,Travel Retail,Accessories,Cartier Wallet,3,7613.4,2051.89,4986.98,65.5,Premium ($10K-$50K),False,7
2024-07-14,2024,7,Q3,Australia,Travel Retail,Watches,Ballon Bleu,1,32402.32,13754.41,20298.44,62.6,Aspirational ($1K-$10K),False,6
2022-10-03,2022,10,Q4,Japan,Wholesale,Accessories,Cartier Wallet,3,3099.6,1060.41,2039.19,65.8,Entry (<$1K),True,9
2024-04-17,2024,4,Q2,Hong Kong,Travel Retail,Fine Jewellery,Cactus de Cartier,1,20212.45,6196.38,14016.07,69.3,VIP (>$50K),False,6
2023-08-27,2023,8,Q3,Japan,Wholesale,Watches,Santos de Cartier,3,43983.54,13196.41,30787.13,70.0,Premium ($10K-$50K),True,8
2023-09-12,2023,9,Q3,Singapore,E-Commerce,Fragrances,Baiser Volé,3,1799.97,601.75,1198.22,66.6,Aspirational ($1K-$10K),False,8
2023-08-01,2023,8,Q3,Hong Kong,Travel Retail,Accessories,C de Cartier Bag,1,2247.71,823.89,1423.82,63.3,Premium ($10K-$50K),False,7
2024-08-29,2024,8,Q3,Australia,Private Client,Fragrances,Carat,1,369.05,114.89,254.16,68.9,Premium ($10K-$50K),False,9
2023-03-06,2023,3,Q1,India,Travel Retail,Fragrances,La Panthère,1,228.48,70.96,157.52,68.9,VIP (>$50K),True,8
2023-11-27,2023,11,Q4,Australia,Travel Retail,Accessories,Love Bracelet Classic,2,5642.5,1763.89,3878.61,68.7,VIP (>$50K),True,6
2022-10-12,2022,10,Q4,South Korea,Wholesale,Fragrances,Carat,2,984.02,281.79,702.22,71.4,Entry (<$1K),False,6
2023-11-05,2023,11,Q4,India,Wholesale,High Jewellery,Panthère Bracelet,1,114936.58,32550.72,82385.86,71.7,Entry (<$1K),False,7
2022-05-23,2022,5,Q2,Thailand,Wholesale,Watches,Tank Must,2,51699.49,14772.89,36926.6,71.4,VIP (>$50K),False,9
2024-03-11,2024,3,Q1,South Korea,Boutique,Watches,Rotonde,2,90519.21,33990.84,56528.37,62.4,Premium ($10K-$50K),False,7
2023-09-27,2023,9,Q3,Thailand,Travel Retail,Watches,Rotonde,1,44603.84,14730.31,29873.53,67.0,Entry (<$1K),False,6
2022-10-20,2022,10,Q4,India,Boutique,Accessories,Panthere Sunglasses,2,3879.09,1264.66,2614.43,67.4,VIP (>$50K),True,8
2024-07-23,2024,7,Q3,Hong Kong,Wholesale,Accessories,Panthere Sunglasses,3,4927.69,1978.49,3186.62,64.7,Entry (<$1K),False,7
2022-07-15,2022,7,Q3,Thailand,Boutique,Watches,Tank Must,2,44292.89,17448.66,28938.06,65.3,VIP (>$50K),True,7
2024-10-07,2024,10,Q4,Thailand,Private Client,High Jewellery,Juste un Clou Necklace,1,88788.04,31666.6,57121.44,64.3,Aspirational ($1K-$10K),False,7
2023-06-02,2023,6,Q2,Australia,Private Client,High Jewellery,LOVE Bracelet HJ,1,59267.98,23408.31,38668.67,65.2,Entry (<$1K),False,9
2023-02-03,2023,2,Q1,Thailand,Boutique,High Jewellery,Juste un Clou Necklace,1,187625.27,43461.11,128952.78,68.7,Entry (<$1K),True,6
2022-06-19,2022,6,Q2,Australia,Travel Retail,Watches,Panthère Watch,1,65824.6,27216.2,41874.34,63.6,VIP (>$50K),False,6
2024-12-30,2024,12,Q4,Thailand,E-Commerce,High Jewellery,Trinity Collection,1,637321.98,157243.61,436050.16,68.4,Premium ($10K-$50K),True,10
2023-03-19,2023,3,Q1,India,Boutique,Fragrances,La Panthère,1,218.8,74.35,144.45,66.0,VIP (>$50K),True,7
2023-05-27,2023,5,Q2,Hong Kong,E-Commerce,Watches,Santos de Cartier,1,6264.7,1965.31,4299.39,68.6,Premium ($10K-$50K),True,6
2023-03-28,2023,3,Q1,Japan,E-Commerce,Watches,Santos de Cartier,2,74277.8,23194.58,51083.23,68.8,Premium ($10K-$50K),True,10
2024-03-20,2024,3,Q1,Thailand,Boutique,Watches,Tank Must,1,11473.93,3674.11,7799.82,68.0,Aspirational ($1K-$10K),False,7
2024-07-28,2024,7,Q3,Australia,Boutique,Fine Jewellery,Cactus de Cartier,2,5887.74,2075.12,4061.64,69.0,Entry (<$1K),True,6
2022-12-18,2022,12,Q4,Singapore,Boutique,Fragrances,Les Heures de Parfum,3,2245.71,653.46,1409.28,62.8,Premium ($10K-$50K),False,8
2024-09-14,2024,9,Q3,Japan,Wholesale,High Jewellery,LOVE Bracelet HJ,1,393890.56,119444.38,274446.18,69.7,VIP (>$50K),False,10
2022-09-12,2022,9,Q3,Singapore,E-Commerce,Accessories,Panthere Sunglasses,2,4859.48,1603.01,3256.47,67.0,Premium ($10K-$50K),False,7
2022-03-19,2022,3,Q1,Australia,Private Client,Accessories,Cartier Wallet,1,724.31,240.53,483.78,66.8,Entry (<$1K),True,8
2022-02-18,2022,2,Q1,Australia,Wholesale,Fine Jewellery,Clash de Cartier,3,36203.6,10159.47,22488.31,62.1,Premium ($10K-$50K),True,9
2024-12-03,2024,12,Q4,Hong Kong,E-Commerce,Accessories,C de Cartier Bag,1,862.68,192.22,616.63,71.5,Premium ($10K-$50K),True,7
2022-07-07,2022,7,Q3,South Korea,Private Client,Fragrances,Baiser Volé,3,544.97,202.32,366.92,67.3,Premium ($10K-$50K),True,7
2024-05-18,2024,5,Q2,South Korea,Private Client,Watches,Ballon Bleu,3,91156.33,27359.67,63796.66,70.0,Entry (<$1K),False,8
2024-03-26,2024,3,Q1,Thailand,E-Commerce,Accessories,Love Bracelet Classic,2,3175.18,1130.47,2044.72,64.4,Entry (<$1K),False,9
2024-05-25,2024,5,Q2,Japan,Wholesale,Fragrances,Baiser Volé,2,635.46,207.39,428.07,67.4,Entry (<$1K),False,10
2024-09-11,2024,9,Q3,Japan,Wholesale,Watches,Panthère Watch,1,24060.27,6767.76,17292.52,71.9,Aspirational ($1K-$10K),True,9
2024-03-19,2024,3,Q1,Hong Kong,Travel Retail,Accessories,Cartier Wallet,2,5903.63,2175.49,3728.14,63.2,VIP (>$50K),False,10
2022-11-29,2022,11,Q4,Australia,Travel Retail,Fine Jewellery,Cactus de Cartier,3,68962.45,21848.55,47113.9,68.3,VIP (>$50K),True,9
2023-05-21,2023,5,Q2,Australia,Travel Retail,High Jewellery,Juste un Clou Necklace,1,564802.05,197537.9,367264.15,65.0,Premium ($10K-$50K),False,9
2022-10-29,2022,10,Q4,Singapore,E-Commerce,Fragrances,Baiser Volé,3,469.17,164.75,304.42,64.9,Entry (<$1K),False,10
2022-06-14,2022,6,Q2,Australia,Travel Retail,Watches,Panthère Watch,3,61255.27,24073.92,40070.22,65.4,Entry (<$1K),True,9
2022-07-02,2022,7,Q3,Japan,Private Client,Fine Jewellery,Clash de Cartier,3,34436.88,12514.56,23424.07,68.0,Aspirational ($1K-$10K),False,7
2024-10-04,2024,10,Q4,China,Boutique,High Jewellery,LOVE Bracelet HJ,1,557675.46,197029.09,360646.36,64.7,Premium ($10K-$50K),False,7
2022-10-03,2022,10,Q4,Australia,Travel Retail,Watches,Rotonde,1,78297.58,23376.82,54920.76,70.1,VIP (>$50K),True,7
