date,month_year,category,product,market,forecast_demand,actual_demand,stock_available,stock_cover_weeks,reorder_point,lead_time_days,stockout_risk,overstock_risk,unit_cost_usd
2024-07-25,Jul 2024,High Jewellery,LOVE Bracelet HJ,Thailand,12,10,11,4.4,4,108,Low,Low,110980.78
2024-08-24,Aug 2024,High Jewellery,LOVE Bracelet HJ,Thailand,14,13,11,3.4,4,119,Medium,Low,138822.12
2024-09-23,Sep 2024,High Jewellery,LOVE Bracelet HJ,Thailand,6,7,7,4.0,1,107,Low,Low,59684.43
2024-10-23,Oct 2024,High Jewellery,LOVE Bracelet HJ,Thailand,9,8,9,4.5,2,39,Low,Low,144186.67
2024-11-22,Nov 2024,High Jewellery,LOVE Bracelet HJ,Thailand,11,13,11,3.4,3,81,Low,Low,3658.92
2023-07-01,Jul 2023,High Jewellery,LOVE Bracelet HJ,India,1,1,0,0.0,0,53,High,Low,110537.57
2023-07-31,Jul 2023,High Jewellery,LOVE Bracelet HJ,India,1,0,0,0.0,0,111,High,Low,15696.27
2023-08-30,Aug 2023,High Jewellery,LOVE Bracelet HJ,India,15,15,12,3.2,4,47,Low,Low,106259.27
2023-09-29,Sep 2023,High Jewellery,LOVE Bracelet HJ,India,2,1,2,2.0,0,116,Low,Low,118289.62
2023-10-29,Oct 2023,High Jewellery,LOVE Bracelet HJ,India,9,9,9,4.0,2,24,Low,Low,8501.73
2023-11-28,Nov 2023,High Jewellery,LOVE Bracelet HJ,India,6,7,7,4.0,1,17,Low,Low,111562.2
2023-12-28,Dec 2023,High Jewellery,LOVE Bracelet HJ,India,19,19,21,4.4,4,53,Low,Low,17055.32
2024-01-27,Jan 2024,High Jewellery,LOVE Bracelet HJ,India,8,8,10,5.0,1,114,Low,Medium,78451.28
2024-02-26,Feb 2024,High Jewellery,LOVE Bracelet HJ,India,12,11,15,5.5,2,92,Low,Medium,88934.38
2024-03-27,Mar 2024,High Jewellery,LOVE Bracelet HJ,India,4,4,4,4.0,1,18,Low,Low,94840.14
2024-04-26,Apr 2024,High Jewellery,LOVE Bracelet HJ,India,8,7,8,4.6,2,65,Low,Low,103909.11
2024-05-26,May 2024,High Jewellery,LOVE Bracelet HJ,India,5,5,5,4.0,1,26,Low,Low,46758.04
2024-06-25,Jun 2024,High Jewellery,LOVE Bracelet HJ,India,5,4,5,5.0,2,62,Low,Low,74314.39
2024-07-25,Jul 2024,High Jewellery,LOVE Bracelet HJ,India,12,11,14,5.1,4,49,Low,Low,137768.86
2024-08-24,Aug 2024,High Jewellery,LOVE Bracelet HJ,India,13,15,11,2.9,3,70,Low,Low,16547.41
2024-09-23,Sep 2024,High Jewellery,LOVE Bracelet HJ,India,6,5,5,4.0,1,80,Low,Low,56304.51
2024-10-23,Oct 2024,High Jewellery,LOVE Bracelet HJ,India,14,16,11,2.8,4,80,Medium,Low,74848.09
2024-11-22,Nov 2024,High Jewellery,LOVE Bracelet HJ,India,9,9,8,3.6,2,108,Low,Low,31796.96
2023-07-01,Jul 2023,Watches,Santos de Cartier,China,22,17,25,5.9,7,116,Low,Low,28135.5
2023-07-31,Jul 2023,Watches,Santos de Cartier,China,34,31,26,3.4,12,25,Medium,Low,22633.54
2023-08-30,Aug 2023,Watches,Santos de Cartier,China,118,119,138,4.6,35,25,Low,Low,29864.61
2023-09-29,Sep 2023,Watches,Santos de Cartier,China,75,93,95,4.1,22,49,Low,Medium,26754.37
2023-10-29,Oct 2023,Watches,Santos de Cartier,China,114,129,97,3.0,34,55,Low,Low,24404.5
2023-11-28,Nov 2023,Watches,Santos de Cartier,China,34,34,26,3.1,10,77,Medium,Low,2731.2
2023-12-28,Dec 2023,Watches,Santos de Cartier,China,96,88,83,3.8,22,102,Low,Low,9710.92
2024-01-27,Jan 2024,Watches,Santos de Cartier,China,70,57,59,4.1,15,93,Low,Low,26521.21
2024-02-26,Feb 2024,Watches,Santos de Cartier,China,77,75,85,4.5,16,30,Low,Low,27772.62
2024-03-27,Mar 2024,Watches,Santos de Cartier,China,76,65,92,5.7,22,113,Low,Medium,8211.54
2024-04-26,Apr 2024,Watches,Santos de Cartier,China,107,110,106,3.9,32,102,Low,Low,8363.66
2024-05-26,May 2024,Watches,Santos de Cartier,China,53,56,69,4.9,15,19,Low,Medium,17144.73
2024-06-25,Jun 2024,Watches,Santos de Cartier,China,83,80,104,5.2,29,78,Low,Medium,2808.55
2024-07-25,Jul 2024,Watches,Santos de Cartier,China,73,89,61,2.7,25,80,Low,Low,7204.7
2024-08-24,Aug 2024,Watches,Santos de Cartier,China,31,33,28,3.4,9,101,Low,Low,26448.26
2024-09-23,Sep 2024,Watches,Santos de Cartier,China,118,108,120,4.4,35,24,Low,Low,11367.11
2024-10-23,Oct 2024,Watches,Santos de Cartier,China,96,115,73,2.5,28,111,Medium,Low,13791.79
2024-11-22,Nov 2024,Watches,Santos de Cartier,China,113,90,131,5.8,33,15,Low,Low,20935.1
2023-07-01,Jul 2023,Watches,Santos de Cartier,Japan,77,76,80,4.2,27,115,Low,Low,17239.65
2023-07-31,Jul 2023,Watches,Santos de Cartier,Japan,41,36,45,5.0,14,33,Low,Low,6658.02
2023-08-30,Aug 2023,Watches,Santos de Cartier,Japan,30,29,22,3.0,9,115,Medium,Low,28613.45
2023-09-29,Sep 2023,Watches,Santos de Cartier,Japan,83,74,86,4.6,24,42,Low,Low,10191.64
2023-10-29,Oct 2023,Watches,Santos de Cartier,Japan,49,50,53,4.2,14,96,Low,Low,20523.43
2023-11-28,Nov 2023,Watches,Santos de Cartier,Japan,111,115,127,4.4,33,99,Low,Low,6176.32
2023-12-28,Dec 2023,Watches,Santos de Cartier,Japan,50,61,46,3.0,11,110,Low,Low,25947.02
2024-01-27,Jan 2024,Watches,Santos de Cartier,Japan,42,35,44,5.0,9,26,Low,Low,23333.43
2024-02-26,Feb 2024,Watches,Santos de Cartier,Japan,56,61,56,3.7,12,110,Low,Low,21246.42
2024-03-27,Mar 2024,Watches,Santos de Cartier,Japan,102,97,98,4.0,30,52,Low,Low,8834.62
2024-04-26,Apr 2024,Watches,Santos de Cartier,Japan,34,40,45,4.5,10,92,Low,Medium,27674.03
2024-05-26,May 2024,Watches,Santos de Cartier,Japan,94,82,80,3.9,28,57,Low,Low,18979.48
2024-06-25,Jun 2024,Watches,Santos de Cartier,Japan,61,62,64,4.1,21,117,Low,Low,11895.11
2024-07-25,Jul 2024,Watches,Santos de Cartier,Japan,69,81,57,2.8,24,20,Low,Low,22925.16
2024-08-24,Aug 2024,Watches,Santos de Cartier,Japan,66,52,87,6.7,19,76,Low,Medium,8430.18
2024-09-23,Sep 2024,Watches,Santos de Cartier,Japan,110,125,145,4.6,33,59,Low,Medium,18074.44
2024-10-23,Oct 2024,Watches,Santos de Cartier,Japan,77,90,68,3.0,23,56,Low,Low,29880.86
2024-11-22,Nov 2024,Watches,Santos de Cartier,Japan,42,37,44,4.8,12,109,Low,Low,18375.37
2023-07-01,Jul 2023,Watches,Santos de Cartier,South Korea,97,96,115,4.8,34,100,Low,Low,25199.39
2023-07-31,Jul 2023,Watches,Santos de Cartier,South Korea,95,116,121,4.2,33,29,Low,Medium,5871.59
2023-08-30,Aug 2023,Watches,Santos de Cartier,South Korea,20,17,21,4.9,6,87,Low,Low,24230.76
2023-09-29,Sep 2023,Watches,Santos de Cartier,South Korea,35,39,33,3.4,10,28,Low,Low,26297.18
2023-10-29,Oct 2023,Watches,Santos de Cartier,South Korea,46,38,57,6.0,13,102,Low,Medium,25164.1
2023-11-28,Nov 2023,Watches,Santos de Cartier,South Korea,23,25,21,3.4,6,64,Low,Low,14458.16
2023-12-28,Dec 2023,Watches,Santos de Cartier,South Korea,67,56,86,6.1,15,72,Low,Medium,21890.97
2024-01-27,Jan 2024,Watches,Santos de Cartier,South Korea,74,77,57,3.0,15,104,Medium,Low,15492.22
2024-02-26,Feb 2024,Watches,Santos de Cartier,South Korea,145,149,182,4.9,31,105,Low,Medium,16184.49
2024-03-27,Mar 2024,Watches,Santos de Cartier,South Korea,17,15,19,5.1,5,14,Low,Low,29381.16
2024-04-26,Apr 2024,Watches,Santos de Cartier,South Korea,86,73,92,5.0,25,117,Low,Low,29247.63
2024-05-26,May 2024,Watches,Santos de Cartier,South Korea,55,59,47,3.2,16,113,Low,Low,25444.65
2024-06-25,Jun 2024,Watches,Santos de Cartier,South Korea,13,11,16,5.8,4,45,Low,Medium,14069.14
2024-07-25,Jul 2024,Watches,Santos de Cartier,South Korea,23,26,17,2.6,8,113,Medium,Low,9211.1
2024-08-24,Aug 2024,Watches,Santos de Cartier,South Korea,95,106,103,3.9,28,86,Low,Low,14680.28
2024-09-23,Sep 2024,Watches,Santos de Cartier,South Korea,103,122,106,3.5,30,18,Low,Low,19225.17
2024-10-23,Oct 2024,Watches,Santos de Cartier,South Korea,81,72,88,4.9,24,94,Low,Low,2611.32
2024-11-22,Nov 2024,Watches,Santos de Cartier,South Korea,18,18,23,5.1,5,19,Low,Medium,23398.82
2023-07-01,Jul 2023,Watches,Santos de Cartier,Australia,19,23,22,3.8,6,83,Low,Low,12698.46
2023-07-31,Jul 2023,Watches,Santos de Cartier,Australia,62,73,76,4.2,22,48,Low,Medium,25022.99
2023-08-30,Aug 2023,Watches,Santos de Cartier,Australia,23,19,18,3.8,6,47,Medium,Low,20563.7
2023-09-29,Sep 2023,Watches,Santos de Cartier,Australia,114,136,101,3.0,34,108,Low,Low,4420.61
2023-10-29,Oct 2023,Watches,Santos de Cartier,Australia,110,94,115,4.9,33,36,Low,Low,25846.86
2023-11-28,Nov 2023,Watches,Santos de Cartier,Australia,31,31,40,5.2,9,61,Low,Medium,6009.6
2023-12-28,Dec 2023,Watches,Santos de Cartier,Australia,76,69,96,5.6,17,103,Low,Medium,9092.57
2024-01-27,Jan 2024,Watches,Santos de Cartier,Australia,32,33,32,3.9,6,70,Low,Low,23077.15
2024-02-26,Feb 2024,Watches,Santos de Cartier,Australia,124,123,101,3.3,26,87,Low,Low,16004.46
2024-03-27,Mar 2024,Watches,Santos de Cartier,Australia,67,74,62,3.4,20,64,Low,Low,27678.4
2024-04-26,Apr 2024,Watches,Santos de Cartier,Australia,96,103,117,4.5,28,43,Low,Medium,8897.56
2024-05-26,May 2024,Watches,Santos de Cartier,Australia,83,84,83,4.0,24,51,Low,Low,23064.23
2024-06-25,Jun 2024,Watches,Santos de Cartier,Australia,97,110,100,3.6,34,38,Low,Low,12603.29
2024-07-25,Jul 2024,Watches,Santos de Cartier,Australia,47,56,63,4.5,16,22,Low,Medium,3933.65
2024-08-24,Aug 2024,Watches,Santos de Cartier,Australia,17,17,22,5.2,5,28,Low,Medium,29771.83
2024-09-23,Sep 2024,Watches,Santos de Cartier,Australia,35,38,27,2.8,10,83,Medium,Low,15313.05
2024-10-23,Oct 2024,Watches,Santos de Cartier,Australia,21,19,24,5.1,6,25,Low,Low,19298.04
2024-11-22,Nov 2024,Watches,Santos de Cartier,Australia,94,95,119,5.0,28,97,Low,Medium,9796.31
2023-07-01,Jul 2023,Watches,Santos de Cartier,Singapore,40,45,51,4.5,14,34,Low,Medium,14145.12
2023-07-31,Jul 2023,Watches,Santos de Cartier,Singapore,89,82,90,4.4,31,100,Low,Low,22273.63
2023-08-30,Aug 2023,Watches,Santos de Cartier,Singapore,119,96,155,6.5,35,85,Low,Medium,12543.34
2023-09-29,Sep 2023,Watches,Santos de Cartier,Singapore,113,134,130,3.9,33,62,Low,Low,4937.31
2023-10-29,Oct 2023,Watches,Santos de Cartier,Singapore,69,61,67,4.4,20,119,Low,Low,17482.79
2023-11-28,Nov 2023,Watches,Santos de Cartier,Singapore,107,111,113,4.1,32,112,Low,Low,15571.84
2023-12-28,Dec 2023,Watches,Santos de Cartier,Singapore,118,146,100,2.7,27,24,Low,Low,28363.37
2024-01-27,Jan 2024,Watches,Santos de Cartier,Singapore,58,55,60,4.4,12,18,Low,Low,6430.05
2024-02-26,Feb 2024,Watches,Santos de Cartier,Singapore,50,53,43,3.2,10,67,Low,Low,5220.19
2024-03-27,Mar 2024,Watches,Santos de Cartier,Singapore,79,80,67,3.4,23,83,Low,Low,6732.53
2024-04-26,Apr 2024,Watches,Santos de Cartier,Singapore,47,45,54,4.8,14,21,Low,Low,2729.19
2024-05-26,May 2024,Watches,Santos de Cartier,Singapore,38,39,39,4.0,11,97,Low,Low,4854.51
2024-06-25,Jun 2024,Watches,Santos de Cartier,Singapore,64,63,78,5.0,22,73,Low,Medium,16122.56
2024-07-25,Jul 2024,Watches,Santos de Cartier,Singapore,33,35,30,3.4,11,92,Low,Low,18867.92
2024-08-24,Aug 2024,Watches,Santos de Cartier,Singapore,59,58,75,5.2,17,82,Low,Medium,28452.71
2024-09-23,Sep 2024,Watches,Santos de Cartier,Singapore,82,91,97,4.3,24,77,Low,Low,17555.8
2024-10-23,Oct 2024,Watches,Santos de Cartier,Singapore,27,22,22,4.0,8,79,Low,Low,22069.44
2024-11-22,Nov 2024,Watches,Santos de Cartier,Singapore,94,108,89,3.3,28,86,Low,Low,8977.63
2023-07-01,Jul 2023,Watches,Santos de Cartier,Hong Kong,56,60,72,4.8,19,41,Low,Medium,21279.28
2023-07-31,Jul 2023,Watches,Santos de Cartier,Hong Kong,22,26,23,3.5,8,104,Low,Low,24697.64
2023-08-30,Aug 2023,Watches,Santos de Cartier,Hong Kong,94,111,120,4.3,28,74,Low,Medium,23883.8
2023-09-29,Sep 2023,Watches,Santos de Cartier,Hong Kong,105,126,99,3.1,31,45,Low,Low,26990.65
2023-10-29,Oct 2023,Watches,Santos de Cartier,Hong Kong,30,36,25,2.8,9,48,Low,Low,26587.13
2023-11-28,Nov 2023,Watches,Santos de Cartier,Hong Kong,114,123,102,3.3,34,15,Low,Low,14408.59
2023-12-28,Dec 2023,Watches,Santos de Cartier,Hong Kong,109,125,112,3.6,25,70,Low,Low,5732.55
2024-01-27,Jan 2024,Watches,Santos de Cartier,Hong Kong,88,92,116,5.0,18,54,Low,Medium,26977.21
2024-02-26,Feb 2024,Watches,Santos de Cartier,Hong Kong,56,55,55,4.0,12,75,Low,Low,19213.33
2024-03-27,Mar 2024,Watches,Santos de Cartier,Hong Kong,16,16,16,4.0,4,31,Low,Low,6340.1
2024-04-26,Apr 2024,Watches,Santos de Cartier,Hong Kong,29,30,25,3.3,8,22,Low,Low,9642.74
2024-05-26,May 2024,Watches,Santos de Cartier,Hong Kong,113,91,133,5.8,33,90,Low,Low,3775.38
2024-06-25,Jun 2024,Watches,Santos de Cartier,Hong Kong,51,56,48,3.4,18,80,Low,Low,9502.13
2024-07-25,Jul 2024,Watches,Santos de Cartier,Hong Kong,20,23,21,3.7,7,55,Low,Low,21823.95
2024-08-24,Aug 2024,Watches,Santos de Cartier,Hong Kong,105,130,135,4.2,31,24,Low,Medium,20400.44
2024-09-23,Sep 2024,Watches,Santos de Cartier,Hong Kong,53,52,47,3.6,15,83,Low,Low,22455.13
2024-10-23,Oct 2024,Watches,Santos de Cartier,Hong Kong,83,84,95,4.5,24,115,Low,Low,25628.08
2024-11-22,Nov 2024,Watches,Santos de Cartier,Hong Kong,58,56,50,3.6,17,70,Low,Low,6074.25
2023-07-01,Jul 2023,Watches,Santos de Cartier,Thailand,19,17,16,3.8,6,96,Low,Low,3677.5
2023-07-31,Jul 2023,Watches,Santos de Cartier,Thailand,61,51,52,4.1,21,56,Low,Low,2929.09
2023-08-30,Aug 2023,Watches,Santos de Cartier,Thailand,106,101,100,4.0,31,118,Low,Low,10620.83
2023-09-29,Sep 2023,Watches,Santos de Cartier,Thailand,90,89,90,4.0,27,95,Low,Low,2729.66
2023-10-29,Oct 2023,Watches,Santos de Cartier,Thailand,57,59,52,3.5,17,52,Low,Low,21598.12
2023-11-28,Nov 2023,Watches,Santos de Cartier,Thailand,116,126,156,5.0,34,111,Low,Medium,10703.81
2023-12-28,Dec 2023,Watches,Santos de Cartier,Thailand,96,77,74,3.8,22,112,Medium,Low,19675.18
2024-01-27,Jan 2024,Watches,Santos de Cartier,Thailand,152,167,142,3.4,32,115,Low,Low,12137.61
2024-02-26,Feb 2024,Watches,Santos de Cartier,Thailand,71,79,66,3.3,15,23,Low,Low,22191.66
2024-03-27,Mar 2024,Watches,Santos de Cartier,Thailand,69,69,89,5.2,20,96,Low,Medium,11312.05
2024-04-26,Apr 2024,Watches,Santos de Cartier,Thailand,35,36,43,4.8,10,30,Low,Medium,14341.93
2024-05-26,May 2024,Watches,Santos de Cartier,Thailand,90,94,81,3.4,27,44,Low,Low,24768.16
2024-06-25,Jun 2024,Watches,Santos de Cartier,Thailand,90,88,104,4.7,32,95,Low,Low,10308.39
2024-07-25,Jul 2024,Watches,Santos de Cartier,Thailand,34,32,39,4.9,12,82,Low,Low,7501.93
2024-08-24,Aug 2024,Watches,Santos de Cartier,Thailand,40,36,35,3.9,12,33,Low,Low,11693.17
2024-09-23,Sep 2024,Watches,Santos de Cartier,Thailand,80,82,104,5.1,24,94,Low,Medium,6454.94
2024-10-23,Oct 2024,Watches,Santos de Cartier,Thailand,118,111,106,3.8,35,92,Low,Low,14281.08
2024-11-22,Nov 2024,Watches,Santos de Cartier,Thailand,113,91,141,6.2,33,24,Low,Medium,1503.43
2023-07-01,Jul 2023,Watches,Santos de Cartier,India,34,33,27,3.3,12,85,Medium,Low,1872.75
2023-07-31,Jul 2023,Watches,Santos de Cartier,India,68,75,88,4.7,24,88,Low,Medium,26944.89
2023-08-30,Aug 2023,Watches,Santos de Cartier,India,33,31,27,3.5,9,107,Low,Low,18854.04
2023-09-29,Sep 2023,Watches,Santos de Cartier,India,112,127,94,3.0,33,118,Low,Low,26484.85
2023-10-29,Oct 2023,Watches,Santos de Cartier,India,61,61,81,5.3,18,34,Low,Medium,29321.89
2023-11-28,Nov 2023,Watches,Santos de Cartier,India,90,108,87,3.2,27,50,Low,Low,5384.48
2023-12-28,Dec 2023,Watches,Santos de Cartier,India,149,126,171,5.4,34,111,Low,Low,22907.73
2024-01-27,Jan 2024,Watches,Santos de Cartier,India,28,31,36,4.6,6,53,Low,Medium,12792.93
2024-02-26,Feb 2024,Watches,Santos de Cartier,India,60,55,49,3.6,12,109,Low,Low,10718.0
2024-03-27,Mar 2024,Watches,Santos de Cartier,India,85,104,75,2.9,25,54,Low,Low,25832.4
2024-04-26,Apr 2024,Watches,Santos de Cartier,India,49,43,61,5.7,14,50,Low,Medium,3537.96
2024-05-26,May 2024,Watches,Santos de Cartier,India,111,106,103,3.9,33,62,Low,Low,9485.61
2024-06-25,Jun 2024,Watches,Santos de Cartier,India,92,111,79,2.8,32,105,Low,Low,14435.78
2024-07-25,Jul 2024,Watches,Santos de Cartier,India,33,34,25,2.9,11,117,Medium,Low,16483.99
2024-08-24,Aug 2024,Watches,Santos de Cartier,India,94,90,90,4.0,28,99,Low,Low,29524.35
2024-09-23,Sep 2024,Watches,Santos de Cartier,India,33,30,38,5.1,9,105,Low,Low,18306.7
2024-10-23,Oct 2024,Watches,Santos de Cartier,India,56,50,42,3.4,16,113,Medium,Low,17812.26
2024-11-22,Nov 2024,Watches,Santos de Cartier,India,49,46,65,5.7,14,51,Low,Medium,29163.82
2023-07-01,Jul 2023,Watches,Tank Must,China,85,77,71,3.7,30,23,Low,Low,1628.92
2023-07-31,Jul 2023,Watches,Tank Must,China,81,64,82,5.1,28,45,Low,Low,25363.83
2023-08-30,Aug 2023,Watches,Tank Must,China,69,57,91,6.4,20,26,Low,Medium,24428.0
2023-09-29,Sep 2023,Watches,Tank Must,China,19,20,18,3.6,5,24,Low,Low,2652.6
2023-10-29,Oct 2023,Watches,Tank Must,China,82,77,70,3.6,24,100,Low,Low,28337.42
2023-11-28,Nov 2023,Watches,Tank Must,China,70,61,78,5.1,21,109,Low,Low,19835.62
2023-12-28,Dec 2023,Watches,Tank Must,China,63,52,60,4.6,14,62,Low,Low,15689.51
2024-01-27,Jan 2024,Watches,Tank Must,China,151,172,188,4.4,32,73,Low,Medium,29697.07
2024-02-26,Feb 2024,Watches,Tank Must,China,88,76,78,4.1,18,111,Low,Low,16447.11
2024-03-27,Mar 2024,Watches,Tank Must,China,114,95,145,6.1,34,95,Low,Medium,5454.28
2024-04-26,Apr 2024,Watches,Tank Must,China,74,69,64,3.7,22,14,Low,Low,21082.29
2024-05-26,May 2024,Watches,Tank Must,China,65,77,62,3.2,19,41,Low,Low,17065.69
2024-06-25,Jun 2024,Watches,Tank Must,China,91,79,112,5.7,32,111,Low,Medium,24219.23
2024-07-25,Jul 2024,Watches,Tank Must,China,26,31,22,2.8,9,81,Low,Low,7510.93
2024-08-24,Aug 2024,Watches,Tank Must,China,110,130,87,2.7,33,66,Medium,Low,8813.41
2024-09-23,Sep 2024,Watches,Tank Must,China,61,70,81,4.6,18,108,Low,Medium,9911.51
2024-10-23,Oct 2024,Watches,Tank Must,China,84,75,87,4.6,25,19,Low,Low,24701.06
2024-11-22,Nov 2024,Watches,Tank Must,China,103,92,79,3.4,30,111,Medium,Low,2731.99
2023-07-01,Jul 2023,Watches,Tank Must,Japan,17,19,13,2.7,6,88,Medium,Low,25405.95
2023-07-31,Jul 2023,Watches,Tank Must,Japan,14,16,13,3.2,5,51,Low,Low,20508.07
2023-08-30,Aug 2023,Watches,Tank Must,Japan,62,53,59,4.5,18,73,Low,Low,14035.57
2023-09-29,Sep 2023,Watches,Tank Must,Japan,60,66,75,4.5,18,51,Low,Medium,10383.96
2023-10-29,Oct 2023,Watches,Tank Must,Japan,89,84,71,3.4,26,40,Medium,Low,5673.2
2023-11-28,Nov 2023,Watches,Tank Must,Japan,31,33,25,3.0,9,37,Low,Low,23246.43
2023-12-28,Dec 2023,Watches,Tank Must,Japan,33,35,42,4.8,7,36,Low,Medium,6940.61
2024-01-27,Jan 2024,Watches,Tank Must,Japan,39,32,35,4.4,8,109,Low,Low,2120.07
2024-02-26,Feb 2024,Watches,Tank Must,Japan,60,71,61,3.4,12,42,Low,Low,4925.89
2024-03-27,Mar 2024,Watches,Tank Must,Japan,21,21,24,4.6,6,41,Low,Low,12187.96
2024-04-26,Apr 2024,Watches,Tank Must,Japan,44,47,38,3.2,13,107,Low,Low,14808.34
2024-05-26,May 2024,Watches,Tank Must,Japan,53,47,67,5.7,15,105,Low,Medium,28697.56
2024-06-25,Jun 2024,Watches,Tank Must,Japan,70,70,86,4.9,24,59,Low,Medium,10050.67
2024-07-25,Jul 2024,Watches,Tank Must,Japan,80,76,90,4.7,28,84,Low,Low,17744.53
2024-08-24,Aug 2024,Watches,Tank Must,Japan,96,109,125,4.6,28,81,Low,Medium,28031.6
2024-09-23,Sep 2024,Watches,Tank Must,Japan,100,122,106,3.5,30,104,Low,Low,7183.46
2024-10-23,Oct 2024,Watches,Tank Must,Japan,74,74,56,3.0,22,64,Medium,Low,3739.33
2024-11-22,Nov 2024,Watches,Tank Must,Japan,59,48,77,6.4,17,117,Low,Medium,18462.08
2023-07-01,Jul 2023,Watches,Tank Must,South Korea,25,28,27,3.9,9,62,Low,Low,26738.73
2023-07-31,Jul 2023,Watches,Tank Must,South Korea,52,43,41,3.8,18,78,Medium,Low,13993.83
2023-08-30,Aug 2023,Watches,Tank Must,South Korea,90,101,115,4.6,27,78,Low,Medium,7593.38
2023-09-29,Sep 2023,Watches,Tank Must,South Korea,60,53,59,4.5,18,61,Low,Low,19711.56
2023-10-29,Oct 2023,Watches,Tank Must,South Korea,114,112,86,3.1,34,48,Medium,Low,8532.95
2023-11-28,Nov 2023,Watches,Tank Must,South Korea,34,38,41,4.3,10,91,Low,Medium,24861.02
2023-12-28,Dec 2023,Watches,Tank Must,South Korea,136,151,156,4.1,31,36,Low,Low,15652.88
2024-01-27,Jan 2024,Watches,Tank Must,South Korea,26,24,26,4.3,5,93,Low,Low,25205.91
2024-02-26,Feb 2024,Watches,Tank Must,South Korea,53,62,55,3.5,11,86,Low,Low,23242.67
2024-03-27,Mar 2024,Watches,Tank Must,South Korea,22,27,19,2.8,6,24,Low,Low,14121.47
2024-04-26,Apr 2024,Watches,Tank Must,South Korea,25,22,30,5.5,7,115,Low,Low,3527.49
2024-05-26,May 2024,Watches,Tank Must,South Korea,64,67,67,4.0,19,40,Low,Low,11469.63
2024-06-25,Jun 2024,Watches,Tank Must,South Korea,46,49,37,3.0,16,27,Low,Low,7836.86
2024-07-25,Jul 2024,Watches,Tank Must,South Korea,28,22,36,6.5,10,88,Low,Medium,15739.41
2024-08-24,Aug 2024,Watches,Tank Must,South Korea,120,131,147,4.5,36,57,Low,Medium,9431.55
2024-09-23,Sep 2024,Watches,Tank Must,South Korea,72,61,78,5.1,21,101,Low,Low,12460.73
2024-10-23,Oct 2024,Watches,Tank Must,South Korea,95,93,110,4.7,28,38,Low,Low,4012.27
2024-11-22,Nov 2024,Watches,Tank Must,South Korea,44,50,54,4.3,13,113,Low,Medium,2142.41
2023-07-01,Jul 2023,Watches,Tank Must,Australia,60,65,63,3.9,21,56,Low,Low,16767.19
2023-07-31,Jul 2023,Watches,Tank Must,Australia,31,34,41,4.8,11,101,Low,Medium,1665.05
2023-08-30,Aug 2023,Watches,Tank Must,Australia,85,101,70,2.8,25,36,Low,Low,14288.64
2023-09-29,Sep 2023,Watches,Tank Must,Australia,111,106,145,5.5,33,105,Low,Medium,24428.79
2023-10-29,Oct 2023,Watches,Tank Must,Australia,66,71,52,2.9,19,120,Medium,Low,1721.38
2023-11-28,Nov 2023,Watches,Tank Must,Australia,86,76,78,4.1,25,39,Low,Low,25278.15
2023-12-28,Dec 2023,Watches,Tank Must,Australia,36,31,36,4.6,8,107,Low,Low,29923.43
2024-01-27,Jan 2024,Watches,Tank Must,Australia,53,50,61,4.9,11,86,Low,Low,25817.13
2024-02-26,Feb 2024,Watches,Tank Must,Australia,75,65,96,5.9,16,113,Low,Medium,7802.72
2024-03-27,Mar 2024,Watches,Tank Must,Australia,38,34,37,4.4,11,88,Low,Low,1708.89
2024-04-26,Apr 2024,Watches,Tank Must,Australia,81,72,83,4.6,24,15,Low,Low,11175.73
2024-05-26,May 2024,Watches,Tank Must,Australia,102,89,124,5.6,30,101,Low,Medium,26818.15
2024-06-25,Jun 2024,Watches,Tank Must,Australia,29,23,24,4.2,10,98,Low,Low,29163.94
2024-07-25,Jul 2024,Watches,Tank Must,Australia,17,18,18,4.0,6,61,Low,Low,27700.79
2024-08-24,Aug 2024,Watches,Tank Must,Australia,41,35,38,4.3,12,107,Low,Low,13224.06
2024-09-23,Sep 2024,Watches,Tank Must,Australia,40,42,45,4.3,12,38,Low,Low,13102.3
2024-10-23,Oct 2024,Watches,Tank Must,Australia,79,84,81,3.9,23,102,Low,Low,26439.84
2024-11-22,Nov 2024,Watches,Tank Must,Australia,103,96,96,4.0,30,55,Low,Low,8557.45
2023-07-01,Jul 2023,Watches,Tank Must,Singapore,77,68,97,5.7,27,88,Low,Medium,10380.97
2023-07-31,Jul 2023,Watches,Tank Must,Singapore,71,77,75,3.9,25,64,Low,Low,4600.4
2023-08-30,Aug 2023,Watches,Tank Must,Singapore,66,58,69,4.8,19,18,Low,Low,18691.8
2023-09-29,Sep 2023,Watches,Tank Must,Singapore,58,59,53,3.6,17,115,Low,Low,14734.94
2023-10-29,Oct 2023,Watches,Tank Must,Singapore,111,92,128,5.6,33,100,Low,Low,8928.66
2023-11-28,Nov 2023,Watches,Tank Must,Singapore,69,67,55,3.3,20,37,Medium,Low,27954.42
2023-12-28,Dec 2023,Watches,Tank Must,Singapore,98,98,120,4.9,22,58,Low,Medium,4388.83
2024-01-27,Jan 2024,Watches,Tank Must,Singapore,64,55,69,5.0,13,42,Low,Low,10106.38
2024-02-26,Feb 2024,Watches,Tank Must,Singapore,78,74,83,4.5,16,33,Low,Low,21591.16
2024-03-27,Mar 2024,Watches,Tank Must,Singapore,21,20,20,4.0,6,68,Low,Low,14252.9
